attention,copy_len,hidden_size,accuracy,final_loss
Softmax,5,256,0.15625,1.84
Flash,5,256,0.11160714285714285,1.83890625
Linear,5,256,0.11160714285714285,1.839609375
GatedDeltaNet,5,128,0.044642857142857144,1.84046875
Softmax,10,256,0.08928571428571429,2.6878125
Flash,10,256,0.08928571428571429,2.68765625
Linear,10,256,0.078125,2.68765625
GatedDeltaNet,10,128,0.022321428571428572,2.68921875
Softmax,20,256,0.09486607142857142,3.4215625
Flash,20,256,0.10044642857142856,3.42171875
Linear,20,256,0.09486607142857142,3.421875
GatedDeltaNet,20,128,0.1171875,3.421875
Softmax,30,256,0.10044642857142856,3.75
Flash,30,256,0.08928571428571429,3.7496875
Linear,30,256,0.10416666666666667,3.75
GatedDeltaNet,30,128,0.11532738095238096,3.75
Softmax,50,256,0.09375,4.0625
Flash,50,256,0.09151785714285715,4.0625
Linear,50,256,0.08928571428571429,4.0625
GatedDeltaNet,50,128,0.11830357142857144,4.0625
