attention,seq_len,hidden_size,forward_mb,backward_mb,total_mb
Softmax,256,256,144.6748046875,241.30078125,241.30078125
Flash,256,256,193.67431640625,241.30029296875,241.30029296875
Linear,256,256,305.70751953125,288.83349609375,305.70751953125
GatedDeltaNet,256,128,1726.02734375,2590.7119140625,2590.7119140625
Softmax,512,256,269.2451171875,434.30078125,434.30078125
Flash,512,256,338.17431640625,434.30029296875,434.30029296875
Linear,512,256,562.20751953125,529.33349609375,562.20751953125
GatedDeltaNet,512,128,3401.27734375,5130.7119140625,5130.7119140625
Softmax,1024,256,486.2451171875,820.30078125,820.30078125
Flash,1024,256,627.17431640625,820.30029296875,820.30029296875
Linear,1024,256,1075.20751953125,1010.33349609375,1075.20751953125
GatedDeltaNet,1024,128,6751.77734375,10210.7119140625,10210.7119140625
Softmax,2048,256,920.2451171875,1592.30078125,1592.30078125
Flash,2048,256,1205.17431640625,1592.30029296875,1592.30029296875
Linear,2048,256,2101.20751953125,1972.33349609375,2101.20751953125
GatedDeltaNet,2048,128,13452.77734375,20370.7119140625,20370.7119140625
