attention,model_size,hidden_size,num_layers,num_heads,num_params,step_time_ms,memory_mb,throughput
Softmax,~1M,128,2,4,733952,14.088639244437218,1070.015625,4651691.257257251
Softmax,~5M,256,4,8,3831808,50.28594024479389,2911.7333984375,1303266.8710372765
Softmax,~15M,384,6,8,11652864,130.780591070652,5963.1376953125,501114.11382592143
Softmax,~30M,512,8,8,26556416,243.58068108558655,10239.3935546875,269052.5361367748
Flash,~1M,128,2,4,733952,13.973471149802208,1070.0146484375,4690030.078956269
Flash,~5M,256,4,8,3831808,49.62141625583172,2911.7314453125,1320720.0629284324
Flash,~15M,384,6,8,11652864,130.45368567109108,5963.134765625,502369.8614789154
Flash,~30M,512,8,8,26556416,242.72685088217258,10239.3896484375,269998.97111429705
Linear,~1M,128,2,4,742464,15.193045884370804,1294.0751953125,4313552.430419325
Linear,~5M,256,4,8,3848832,53.587350621819496,3807.8525390625,1222975.184246472
Linear,~15M,384,6,8,11709600,142.31549575924873,7979.4921875,460497.9918059343
Linear,~30M,512,8,8,26690048,269.25012581050396,13824.1943359375,243401.92897857254
GatedDeltaNet,~1M,64,2,4,1319312,109.61593724787235,7072.93994140625,597869.2665082518
GatedDeltaNet,~5M,128,4,4,5133344,232.67973065376282,11374.58740234375,281657.5376628758
GatedDeltaNet,~15M,192,6,4,11835312,390.3766851872206,16156.87744140625,167878.8782392822
GatedDeltaNet,~30M,256,8,4,21818432,543.4121046215296,21422.056640625,120600.92044810795
