attention,seq_len,step_time_ms,step_time_std,throughput,memory_peak_mb,num_params
Standard,512,10.55290512740612,1.0229549826753208,189394.11201652224,459.1748046875,8432128
Flash,512,12.130772694945335,0.8649847348941079,165161.1850839195,299.3720703125,8432128
Linear,512,15.80241322517395,1.733290339043775,126763.82002719863,442.3349609375,8432128
GatedDeltaNet,512,31.521782279014587,3.0846479840245338,64229.34524360129,913.57958984375,24310336
Standard,1024,17.12237447500229,0.04409795991471572,235599.83451784443,1177.1025390625,8563200
Flash,1024,8.194992691278458,0.918700609828968,486027.2584242667,533.6005859375,8563200
Linear,1024,17.506051063537598,0.4054808721157129,229491.3896902042,821.5517578125,8563200
GatedDeltaNet,1024,38.22939172387123,0.4121223717414953,106306.6814640515,1660.32958984375,24441408
Standard,2048,55.777040868997574,0.03760713923974864,146034.8063902738,3575.15625,8825344
Flash,2048,13.486934080719948,0.8902940539908112,593660.3221056659,1002.1572265625,8825344
Linear,2048,34.05032120645046,0.052114876598328794,238575.5313103603,1578.3076171875,8825344
GatedDeltaNet,2048,72.90852591395378,0.4224559434671684,111842.16146627851,3153.03271484375,24703552
